item,Condition,HomeColorPatternMiddle,DestinationColorPattern4,Predict,group,ColorTest,ColorFill,ColorCheck,L1H,L2H,L3H,M1H,M2H,M3H,M4H,R1H,R2H,R3H,L1D,L2D,L3D,M1D,M2D,M3D,M4D,R1D,R2D,R3D
1,Critical,TTTC,TTFT,?,1,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,blue,blue,red,yellow
1,ControlTrue,TTTC,TTFF,Visible,2,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
1,ControlFalse,TTTC,TTTF,Covered,3,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,blue,red,blue,red,yellow
1,CriticalCheck,CCCF,TTFF,?,4,blue,red,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
2,Critical,TTTC,TTFT,?,2,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,blue,blue,red,yellow
2,ControlTrue,TTTC,TTFF,Visible,3,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
2,ControlFalse,TTTC,TTTF,Covered,4,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,blue,red,blue,red,yellow
2,CriticalCheck,CCCF,TTFF,?,1,blue,red,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
3,Critical,TTTC,TTFT,?,3,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,blue,blue,red,yellow
3,ControlTrue,TTTC,TTFF,Visible,4,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
3,ControlFalse,TTTC,TTTF,Covered,1,blue,red,yellow,blue,blue,yellow,blue,blue,blue,yellow,blue,red,yellow,blue,red,yellow,blue,blue,blue,red,blue,red,yellow
3,CriticalCheck,CCCF,TTFF,?,2,blue,red,yellow,blue,blue,yellow,yellow,yellow,yellow,red,blue,red,yellow,blue,red,yellow,blue,blue,red,red,blue,red,yellow
4,Critical,TTTC,TTFT,?,4,blue,yellow,red,blue,blue,red,blue,blue,blue,red,blue,yellow,red,blue,yellow,red,blue,blue,yellow,blue,blue,yellow,red
4,ControlTrue,TTTC,TTFF,Visible,1,blue,yellow,red,blue,blue,red,blue,blue,blue,red,blue,yellow,red,blue,yellow,red,blue,blue,yellow,yellow,blue,yellow,red
4,ControlFalse,TTTC,TTTF,Covered,2,blue,yellow,red,blue,blue,red,blue,blue,blue,red,blue,yellow,red,blue,yellow,red,blue,blue,blue,yellow,blue,yellow,red
